,aclose
2025-04-04,94.2879
2025-04-11,110.904
2025-04-17,101.4662
2025-04-25,110.9839
2025-05-02,114.4731
2025-05-09,116.6226
2025-05-16,135.3682
2025-05-23,131.2592
2025-05-30,135.0983
2025-06-06,141.6867
2025-06-13,141.9466
2025-06-20,143.8263
2025-06-27,157.724
2025-07-03,159.3138
2025-07-11,164.8928
2025-07-18,172.3816
2025-07-25,173.4714
2025-08-01,173.6914
2025-08-08,182.6699
2025-08-15,180.4203
2025-08-22,177.9607
2025-08-29,174.1513
2025-09-05,166.9925
2025-09-12,177.8007
2025-09-19,176.6509
2025-09-26,178.1707
2025-10-03,187.5997
2025-10-10,183.1402
2025-10-17,183.2002
2025-10-24,186.2398
2025-10-31,202.4681
2025-11-07,188.1296
2025-11-14,190.1494
2025-11-21,178.8606
2025-11-28,176.9808
2025-12-05,182.4002
2025-12-12,175.0106
2025-12-19,180.9803
2025-12-26,190.5198
2026-01-02,188.8398
2026-01-09,184.8501
2026-01-16,186.22
2026-01-23,187.6599
2026-01-30,191.1197
2026-02-06,185.4
2026-02-13,182.8002
2026-02-20,189.8098
2026-02-27,177.1805
2026-03-06,177.8104
2026-03-13,180.25
2026-03-20,172.7
2026-03-27,167.52
