,aclose
1999-11-12,0.0611
1999-11-19,0.0819
1999-11-26,0.0731
1999-12-03,0.0728
1999-12-10,0.0725
1999-12-17,0.0719
1999-12-23,0.0886
1999-12-31,0.0897
2000-01-07,0.08
2000-01-14,0.0839
2000-01-21,0.0855
2000-01-28,0.0714
2000-02-04,0.0775
2000-02-11,0.0955
2000-02-18,0.1287
2000-02-25,0.1169
2000-03-03,0.1125
2000-03-10,0.2254
2000-03-17,0.1908
2000-03-24,0.178
2000-03-31,0.1614
2000-04-07,0.196
2000-04-14,0.1314
2000-04-20,0.154
2000-04-28,0.1703
2000-05-05,0.176
2000-05-12,0.1523
2000-05-19,0.195
2000-05-26,0.2015
2000-06-02,0.2514
2000-06-09,0.2415
2000-06-16,0.2862
2000-06-23,0.2829
2000-06-30,0.2428
2000-07-07,0.2223
2000-07-14,0.282
2000-07-21,0.2663
2000-07-28,0.2063
2000-08-04,0.2436
2000-08-11,0.2462
2000-08-18,0.2942
2000-08-25,0.2865
2000-09-01,0.3037
2000-09-08,0.2808
2000-09-15,0.2708
2000-09-22,0.2698
2000-09-29,0.3128
2000-10-06,0.2615
2000-10-13,0.2488
2000-10-20,0.266
2000-10-27,0.234
2000-11-03,0.2722
2000-11-10,0.2247
2000-11-17,0.2421
2000-11-24,0.2197
2000-12-01,0.17
2000-12-08,0.1901
2000-12-15,0.143
2000-12-22,0.1339
2000-12-29,0.1252
2001-01-05,0.1417
2001-01-12,0.1796
2001-01-19,0.1989
2001-01-26,0.1941
2001-02-02,0.1791
2001-02-09,0.1693
2001-02-16,0.2273
2001-02-23,0.2076
2001-03-02,0.1665
2001-03-09,0.1913
2001-03-16,0.2278
2001-03-23,0.256
2001-03-30,0.248
2001-04-06,0.2395
2001-04-12,0.2684
2001-04-20,0.3322
2001-04-27,0.3018
2001-05-04,0.3432
2001-05-11,0.2985
2001-05-18,0.3297
2001-05-25,0.3503
2001-06-01,0.3452
2001-06-08,0.3696
2001-06-15,0.3631
2001-06-22,0.3488
2001-06-29,0.3544
2001-07-06,0.3083
2001-07-13,0.3093
2001-07-20,0.2861
2001-07-27,0.3095
2001-08-03,0.3335
2001-08-10,0.3234
2001-08-17,0.32
2001-08-24,0.3258
2001-08-31,0.3236
2001-09-07,0.2981
2001-09-10,0.2894
2001-09-21,0.2061
2001-09-28,0.2099
2001-10-05,0.2514
2001-10-12,0.3089
2001-10-19,0.3389
2001-10-26,0.3499
2001-11-02,0.3604
2001-11-09,0.4065
2001-11-16,0.4011
2001-11-23,0.3817
2001-11-30,0.4175
2001-12-07,0.4581
2001-12-14,0.5016
2001-12-21,0.4935
2001-12-28,0.5174
2002-01-04,0.532
2002-01-11,0.4819
2002-01-18,0.4875
2002-01-25,0.5003
2002-02-01,0.49
2002-02-08,0.441
2002-02-15,0.4382
2002-02-22,0.3814
2002-03-01,0.4274
2002-03-08,0.4454
2002-03-15,0.4032
2002-03-22,0.3711
2002-03-28,0.339
2002-04-05,0.3217
2002-04-12,0.2803
2002-04-19,0.2821
2002-04-26,0.2321
2002-05-03,0.2502
2002-05-10,0.2436
2002-05-17,0.2993
2002-05-24,0.2677
2002-05-31,0.2557
2002-06-07,0.2468
2002-06-14,0.2153
2002-06-21,0.1731
2002-06-28,0.1313
2002-07-05,0.1451
2002-07-12,0.1521
2002-07-19,0.1385
2002-07-26,0.1124
2002-08-02,0.0714
2002-08-09,0.0703
2002-08-16,0.0817
2002-08-23,0.0878
2002-08-30,0.0773
2002-09-06,0.0708
2002-09-13,0.0808
2002-09-20,0.0704
2002-09-27,0.0654
2002-10-04,0.0622
2002-10-11,0.0673
2002-10-18,0.0718
2002-10-25,0.0848
2002-11-01,0.1077
2002-11-08,0.0869
2002-11-15,0.1029
2002-11-22,0.1201
2002-11-29,0.1309
2002-12-06,0.108
2002-12-13,0.1012
2002-12-20,0.098
2002-12-27,0.0913
2003-01-03,0.0941
2003-01-10,0.0945
2003-01-17,0.0821
2003-01-24,0.0777
2003-01-31,0.0789
2003-02-07,0.0746
2003-02-14,0.092
2003-02-21,0.0983
2003-02-28,0.0964
2003-03-07,0.0954
2003-03-14,0.1025
2003-03-21,0.1082
2003-03-28,0.1026
2003-04-04,0.1023
2003-04-11,0.1012
2003-04-17,0.1043
2003-04-25,0.1035
2003-05-02,0.1215
2003-05-09,0.1633
2003-05-16,0.1624
2003-05-23,0.1595
2003-05-30,0.2
2003-06-06,0.1968
2003-06-13,0.1793
2003-06-20,0.1809
2003-06-27,0.1724
2003-07-03,0.1796
2003-07-11,0.1867
2003-07-18,0.1624
2003-07-25,0.1609
2003-08-01,0.1507
2003-08-08,0.1184
2003-08-15,0.1234
2003-08-22,0.1395
2003-08-29,0.1388
2003-09-05,0.1427
2003-09-12,0.1479
2003-09-19,0.1516
2003-09-26,0.1288
2003-10-03,0.1282
2003-10-10,0.1278
2003-10-17,0.1273
2003-10-24,0.1307
2003-10-31,0.1348
2003-11-07,0.1662
2003-11-14,0.1541
2003-11-21,0.151
2003-11-28,0.1622
2003-12-05,0.1561
2003-12-12,0.1592
2003-12-19,0.161
2003-12-26,0.1738
2004-01-02,0.1764
2004-01-09,0.1946
2004-01-16,0.1884
2004-01-23,0.1764
2004-01-30,0.17
2004-02-06,0.1739
2004-02-13,0.178
2004-02-20,0.1845
2004-02-27,0.17
2004-03-05,0.1696
2004-03-12,0.1623
2004-03-19,0.1694
2004-03-26,0.1861
2004-04-02,0.201
2004-04-08,0.2043
2004-04-16,0.1804
2004-04-23,0.1776
2004-04-30,0.1568
2004-05-07,0.1687
2004-05-14,0.1644
2004-05-21,0.162
2004-05-28,0.1792
2004-06-04,0.1674
2004-06-10,0.1589
2004-06-18,0.151
2004-06-25,0.1547
2004-07-02,0.1472
2004-07-09,0.1291
2004-07-16,0.116
2004-07-23,0.1117
2004-07-30,0.1178
2004-08-06,0.0721
2004-08-13,0.0802
2004-08-20,0.0944
2004-08-27,0.0989
2004-09-03,0.098
2004-09-10,0.1075
2004-09-17,0.1122
2004-09-24,0.1074
2004-10-01,0.1155
2004-10-08,0.1109
2004-10-15,0.1025
2004-10-22,0.1015
2004-10-29,0.1106
2004-11-05,0.1348
2004-11-12,0.1383
2004-11-19,0.1449
2004-11-26,0.1518
2004-12-03,0.1584
2004-12-10,0.1781
2004-12-17,0.1762
2004-12-23,0.1763
2004-12-31,0.18
