,volume
1999-11-12,4063800
1999-11-19,8903200
1999-11-26,3275100
1999-12-03,3103100
1999-12-10,1833200
1999-12-17,2204900
1999-12-23,2754600
1999-12-31,1626800
2000-01-07,2044600
2000-01-14,2600600
2000-01-21,2396200
2000-01-28,2873300
2000-02-04,1367400
2000-02-11,5560900
2000-02-18,7535000
2000-02-25,3285300
2000-03-03,3483800
2000-03-10,12848300
2000-03-17,13097000
2000-03-24,3486500
2000-03-31,5367900
2000-04-07,4596900
2000-04-14,3961500
2000-04-20,2508100
2000-04-28,2437100
2000-05-05,2280000
2000-05-12,2228700
2000-05-19,6188000
2000-05-26,5808300
2000-06-02,3717400
2000-06-09,4433600
2000-06-16,5061200
2000-06-23,7289700
2000-06-30,14967200
2000-07-07,8171300
2000-07-14,9306900
2000-07-21,3640200
2000-07-28,7669600
2000-08-04,6794700
2000-08-11,3331900
2000-08-18,4802800
2000-08-25,8174200
2000-09-01,4624000
2000-09-08,3911200
2000-09-15,4628200
2000-09-22,5942700
2000-09-29,9119700
2000-10-06,10886000
2000-10-13,10823200
2000-10-20,7923600
2000-10-27,5159700
2000-11-03,5239300
2000-11-10,10208900
2000-11-17,7662300
2000-11-24,5233700
2000-12-01,13118000
2000-12-08,16920800
2000-12-15,14606900
2000-12-22,18770000
2000-12-29,6657000
2001-01-05,10205800
2001-01-12,9942700
2001-01-19,12393500
2001-01-26,8176400
2001-02-02,6869200
2001-02-09,8259600
2001-02-16,15427700
2001-02-23,13324100
2001-03-02,18327100
2001-03-09,19004600
2001-03-16,26236700
2001-03-23,33413500
2001-03-30,32227200
2001-04-06,41215300
2001-04-12,21461300
2001-04-20,31602200
2001-04-27,28719700
2001-05-04,28801900
2001-05-11,24312100
2001-05-18,18320900
2001-05-25,29117100
2001-06-01,27145300
2001-06-08,17339700
2001-06-15,19433600
2001-06-22,26561400
2001-06-29,16391500
2001-07-06,13621800
2001-07-13,20050600
2001-07-20,19937800
2001-07-27,29033400
2001-08-03,20388600
2001-08-10,25779100
2001-08-17,34780300
2001-08-24,24969200
2001-08-31,25889100
2001-09-07,34053100
2001-09-10,7801500
2001-09-21,31325750
2001-09-28,40268400
2001-10-05,57945400
2001-10-12,40189000
2001-10-19,50567400
2001-10-26,44879300
2001-11-02,44404100
2001-11-09,66280400
2001-11-16,45220400
2001-11-23,32194700
2001-11-30,77584300
2001-12-07,49076300
2001-12-14,34406900
2001-12-21,37481500
2001-12-28,19960800
2002-01-04,36562700
2002-01-11,43849800
2002-01-18,52074800
2002-01-25,32746900
2002-02-01,43224400
2002-02-08,55481500
2002-02-15,74253300
2002-02-22,66066000
2002-03-01,67685800
2002-03-08,57726000
2002-03-15,45707800
2002-03-22,61220900
2002-03-28,51664700
2002-04-05,58798800
2002-04-12,75299800
2002-04-19,39794800
2002-04-26,46033800
2002-05-03,78367500
2002-05-10,56296400
2002-05-17,47929300
2002-05-24,59821400
2002-05-31,36819100
2002-06-07,43513700
2002-06-14,52152800
2002-06-21,63045600
2002-06-28,81613700
2002-07-05,36211500
2002-07-12,50650800
2002-07-19,60666900
2002-07-26,57448700
2002-08-02,95032000
2002-08-09,39410200
2002-08-16,38978800
2002-08-23,59556000
2002-08-30,33058700
2002-09-06,26988400
2002-09-13,55375100
2002-09-20,32725100
2002-09-27,28608200
2002-10-04,27849500
2002-10-11,27605200
2002-10-18,26054500
2002-10-25,41077900
2002-11-01,53059000
2002-11-08,98567900
2002-11-15,64623400
2002-11-22,71275300
2002-11-29,32686400
2002-12-06,59786400
2002-12-13,47784700
2002-12-20,43056100
2002-12-27,18510600
2003-01-03,32918100
2003-01-10,56206600
2003-01-17,47675300
2003-01-24,27782600
2003-01-31,44911300
2003-02-07,34217700
2003-02-14,57606300
2003-02-21,39776000
2003-02-28,45431300
2003-03-07,24098300
2003-03-14,30940100
2003-03-21,45124500
2003-03-28,44192500
2003-04-04,26690300
2003-04-11,21490300
2003-04-17,17739300
2003-04-25,29469200
2003-05-02,35303400
2003-05-09,123380900
2003-05-16,66101000
2003-05-23,39720900
2003-05-30,61275100
2003-06-06,57681600
2003-06-13,42510200
2003-06-20,51293100
2003-06-27,37282200
2003-07-03,23240700
2003-07-11,27749800
2003-07-18,40440600
2003-07-25,35765200
2003-08-01,49603500
2003-08-08,69384400
2003-08-15,40657300
2003-08-22,38659600
2003-08-29,26100200
2003-09-05,29168600
2003-09-12,76282600
2003-09-19,28092800
2003-09-26,38314900
2003-10-03,46362900
2003-10-10,24112000
2003-10-17,22231100
2003-10-24,22880600
2003-10-31,24032800
2003-11-07,65206200
2003-11-14,34130100
2003-11-21,28674600
2003-11-28,19996800
2003-12-05,24112900
2003-12-12,24194400
2003-12-19,25644000
2003-12-26,13906300
2004-01-02,18676600
2004-01-09,29516700
2004-01-16,25113200
2004-01-23,17253500
2004-01-30,27826300
2004-02-06,18489900
2004-02-13,36199100
2004-02-20,17878100
2004-02-27,26289600
2004-03-05,22005900
2004-03-12,18524300
2004-03-19,21036100
2004-03-26,29073500
2004-04-02,35706000
2004-04-08,17465000
2004-04-16,24012100
2004-04-23,23873900
2004-04-30,21260200
2004-05-07,29295400
2004-05-14,19652400
2004-05-21,14288500
2004-05-28,22516500
2004-06-04,19272100
2004-06-10,18748400
2004-06-18,17405200
2004-06-25,15677600
2004-07-02,14942200
2004-07-09,20534000
2004-07-16,26840100
2004-07-23,19241700
2004-07-30,24579400
2004-08-06,63519500
2004-08-13,50541900
2004-08-20,33937600
2004-08-27,30321700
2004-09-03,27433400
